id;cliente_id;valor;data
8607;910;-2.0;2022-01-19 17:15:26 
8608;910;-2.0;2022-01-19 17:14:56 
8609;910;-2.0;2022-01-19 17:14:26 
8610;910;-2.0;2022-01-19 17:13:56 
8612;910;-2.0;2022-01-19 17:13:26 
8614;910;-2.0;2022-01-19 17:12:56 
8573;671;-10.0;2022-01-13 12:21:25 
8574;671;-10.0;2022-01-13 12:20:55 
8575;671;-5.0;2022-01-13 12:20:25 
8576;671;-10.0;2022-01-13 12:19:55 
8577;671;-2.0;2022-01-13 12:19:25 
8580;671;-10.0;2022-01-13 12:18:55 
8581;671;-100.0;2022-01-13 12:18:25 
8582;671;-15.0;2022-01-13 12:17:55 
8583;671;-100.0;2022-01-13 12:17:25 
8584;671;-2.0;2022-01-13 12:16:55 
8579;370;-7.0;2022-01-13 00:44:57 
8578;370;-3.0;2022-01-13 00:37:43 
8572;671;-2.0;2022-01-12 16:43:20 
8539;671;-10.0;2022-01-12 14:16:29 
8538;671;-3.0;2022-01-12 13:00:58 
8537;370;-2.0;2022-01-12 09:57:12 
8536;370;-2.0;2022-01-12 09:00:43 
8535;370;-3.0;2022-01-12 08:55:12 
8534;671;-50.0;2022-01-11 20:52:39 
8533;671;-100.0;2022-01-11 18:25:55 
8531;431;-50.0;2022-01-11 18:20:03 
8530;671;-5.0;2022-01-11 16:24:11 
8528;671;-50.0;2022-01-11 12:54:14 
8527;671;-50.0;2022-01-11 12:35:18 
8526;671;-10.0;2022-01-11 06:33:08 
8525;671;-40.0;2022-01-10 21:53:13 
8524;671;-10.0;2022-01-10 15:10:59 
8523;671;-50.0;2022-01-10 13:14:28 
8522;671;-50.0;2022-01-09 16:13:42 
8521;671;-2.0;2022-01-09 12:59:51 
8520;671;-3.0;2022-01-09 11:19:48 
8519;671;-10.0;2022-01-09 11:17:02 
8518;671;-10.0;2022-01-09 11:11:47 
8517;671;-20.0;2022-01-09 11:09:10 
8516;671;-2.0;2022-01-09 11:03:14 
8515;671;-100.0;2022-01-09 10:58:18 
8514;671;-100.0;2022-01-09 10:52:19 
8513;671;-10.0;2022-01-09 10:44:30 
8511;671;-10.0;2022-01-09 09:55:10 
8510;671;-2.0;2022-01-09 09:54:15 
8508;671;-5.0;2022-01-09 09:37:24 
8507;671;-10.0;2022-01-09 07:54:28 
8506;671;-50.0;2022-01-09 07:52:07 
8505;671;-10.0;2022-01-09 00:11:44 
8504;671;-10.0;2022-01-08 22:57:25 
8503;671;-2.0;2022-01-08 16:54:13 
8502;671;-20.0;2022-01-08 16:50:25 
8501;671;-25.0;2022-01-08 16:43:39 
8500;671;-10.0;2022-01-08 16:36:01 
8499;671;-2.0;2022-01-08 13:56:40 
8498;671;-50.0;2022-01-08 13:41:19 
8497;671;-10.0;2022-01-08 12:45:39 
8496;671;-5.0;2022-01-08 11:29:37 
8495;671;-50.0;2022-01-08 11:27:52 
8494;671;-2.0;2022-01-08 09:58:31 
8493;671;-3.0;2022-01-08 09:54:57 
8492;671;-2.0;2022-01-08 09:34:33 
8491;671;-10.0;2022-01-08 06:04:51 
8490;671;-10.0;2022-01-08 06:04:21 
8489;671;-10.0;2022-01-07 18:50:53 
8488;671;-10.0;2022-01-07 14:28:15 
8487;671;-100.0;2022-01-07 12:25:39 
8486;671;-100.0;2022-01-07 12:24:02 
8485;671;-10.0;2022-01-06 17:39:05 
8484;671;-5.0;2022-01-06 16:24:15 
8483;671;-50.0;2022-01-06 16:18:29 
8482;671;-5.0;2022-01-06 13:21:23 
8481;671;-3.0;2022-01-06 12:25:31 
8480;671;-15.0;2022-01-06 12:23:46 
8479;671;-10.0;2022-01-06 09:46:47 
8478;671;-5.0;2022-01-06 09:44:12 
8477;671;-100.0;2022-01-06 09:39:41 
8476;671;-10.0;2022-01-05 20:37:56 
8475;671;-2.0;2022-01-05 20:13:12 
8474;671;-50.0;2022-01-05 14:58:45 
8472;671;-2.0;2022-01-05 12:53:32 
8471;671;-200.0;2022-01-05 12:48:59 
8470;671;-30.0;2022-01-05 12:41:12 
8469;671;-2.0;2022-01-05 12:40:32 
8468;671;-10.0;2022-01-05 12:32:23 
8467;671;-10.0;2022-01-04 19:02:23 
8466;671;-10.0;2022-01-04 15:45:20 
8465;671;-2.0;2022-01-04 14:26:27 
8464;671;-10.0;2022-01-04 13:24:14 
8463;671;-2.0;2022-01-04 13:11:19 
8462;671;-2.0;2022-01-04 12:28:05 
8461;671;-20.0;2022-01-04 12:24:41 
8460;671;-20.0;2022-01-04 06:24:19 
8459;370;-5.0;2022-01-03 23:54:27 
8458;671;-2.0;2022-01-03 15:28:30 
8457;671;-2.0;2022-01-03 12:53:58 
8456;671;-20.0;2022-01-03 12:29:09 
8455;671;-10.0;2022-01-03 12:26:45 
8454;671;-10.0;2022-01-03 12:25:04 
8453;671;-100.0;2022-01-03 12:22:44 
